"Id";"serie_editie";"serie";"serietekst";"nr";"titel";"auteurs";"editie";"jaar metingen";"jaar van uitgave";"linksonder";"rechtsonder";"uitgever";"Drukker";"schaal";"Stempel TIArchief";"StempelTIKaartenarchief";"StempelBiblPontonniers";"StempelKVGIVU";"StempelKaartenzaal";"Stempel";"opmerkingen";"Fyskenm";"provenance";"aanwezig in ub"
374;"TWEEDE HERZIENING";"2";"Pannerdensch Kanaal, Neder-Rijn, Lek, Nieuwe Maas, Scheur, Nieuwe Waterweg / [Rijkswaterstaat]. – Schaal 1:5.000 / 1:10.000. – [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1914-1961] (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 31 bladen : lithografie ; diverse formaten.";"27";"Scheurpolder ";"Karteering Rijkswaterstaat Algemeene Dienst";"Derde uitgave";"1933-1934";1935,00;;;"'s-Gravenhage : Rijksuitgeverij";"(Delft  : Reproductie: Top. Dienst)";"Schaal 1:5.000";;;;;"Bibliotheek Kaartenzaal Vrije Universiteit";;"Foto-Litho, in kleur";;;"Ja"
375;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"27";"Kerkdriel ";;"Derde uitgave";;1960,00;;;;;"Schaal 1:10.000";;;;;;;;;;
376;"EERSTE DRUK";"4";"Kaart van de rivier de Boven Maas van Vise tot Woudrichem : in vierendertig bladen / opgemeten en vervaardigd door den eersten landmeter bij de Algemeene dienst van den Waterstaat E. Olivier Dz. ; op last van zijne excellentie den minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur in Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier.  – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1849-1856 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 38 bladen : lithografie; diverse formaten.";"27";"Megen";;;"1853";1853,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;"RO in handschrift: Ontfangen bij missive 30 Decem"" [Verder niet leesbaar door afsnijden van het kaartblad]. -  KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";;"Nugter";"Ja"
377;"TWEEDE HERZIENING";"2";"Pannerdensch Kanaal, Neder-Rijn, Lek, Nieuwe Maas, Scheur, Nieuwe Waterweg / [Rijkswaterstaat]. – Schaal 1:5.000 / 1:10.000. – [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1914-1961] (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 31 bladen : lithografie ; diverse formaten.";"28";"Hoek van Holland";"Karteering Rijkswaterstaat Algemeene Dienst";"Derde uitgave";"1933-1934";1935,00;;;"'s-Gravenhage : Rijksuitgeverij";"(Delft  : Reproductie: Top. Dienst)";"Schaal 1:5.000";;;;;"Bibliotheek Kaartenzaal Vrije Universiteit";;"Foto-Litho, in kleur";;;"Ja"
378;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"28";"Hedel ";;"Derde gedeeltelijk Vierde uitgave";;1959,00;;;;;"Schaal 1:10.000";;;;;;;;;;
379;"EERSTE DRUK";"4";"Kaart van de rivier de Boven Maas van Vise tot Woudrichem : in vierendertig bladen / opgemeten en vervaardigd door den eersten landmeter bij de Algemeene dienst van den Waterstaat E. Olivier Dz. ; op last van zijne excellentie den minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur in Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier.  – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1849-1856 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 38 bladen : lithografie; diverse formaten.";"28";"Lith";;;"1853";1853,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;"RO in handschrift: Ontfangen bij missive 30 Decem"" [Verder niet leesbaar door afsnijden van het kaartblad]. -  KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";"Scheurtjes L";"Nugter";"Ja"
380;"EERSTE HERZIENING";"7";"Maas en Bergsche Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topographische Inrichting, 1908-1914]. – 1 serie in 9 bladen : lithografie ; diverse formaten.";"28";"Ammerzoden";"Opgemeten door den ambtenaar K. Vierkant ; de kaart gebracht en geteekend door den ambtenaar H. van der Schalk ; gegr. door Fred. Kierdorff";;;1908,00;;;;;"Schaal 1:10.000";;;;;;;;;;
381;"TWEEDE HERZIENING";"2";"Pannerdensch Kanaal, Neder-Rijn, Lek, Nieuwe Maas, Scheur, Nieuwe Waterweg / [Rijkswaterstaat]. – Schaal 1:5.000 / 1:10.000. – [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1914-1961] (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 31 bladen : lithografie ; diverse formaten.";"29";"Mond van den Waterweg ";"Karteering Rijkswaterstaat Algemeene Dienst";"Derde uitgave";"1933-1934";1935,00;;;"'s-Gravenhage : Rijksuitgeverij";"(Delft  : Reproductie: Top. Dienst)";"Schaal 1:5.000";;;;;"Bibliotheek Kaartenzaal Vrije Universiteit";;"Foto-Litho, in kleur";;;"Ja"
382;"EERSTE DRUK";"4";"Kaart van de rivier de Boven Maas van Vise tot Woudrichem : in vierendertig bladen / opgemeten en vervaardigd door den eersten landmeter bij de Algemeene dienst van den Waterstaat E. Olivier Dz. ; op last van zijne excellentie den minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur in Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier.  – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1849-1856 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 38 bladen : lithografie; diverse formaten.";"29";"Rossum";;;"1853";1853,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;"RO in handschrift: ""Ontfangen bij missive dd 19 Juny 1855 No. 1143/1. -  KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";;"Nugtger";"Ja"
383;"EERSTE HERZIENING";"7";"Maas en Bergsche Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topographische Inrichting, 1908-1914]. – 1 serie in 9 bladen : lithografie ; diverse formaten.";"29";"Waalwijk";"Gegr. door Fred. Kierdorff";;;1909,00;;;;;"Schaal 1:10.000";;;;;;;;;;
384;"EERSTE HERZIENING";"4 EN 5";"Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische inrichting, 1873-1903]. – 1 serie in 33 bladen : lithografie ; diverse formaten.";"29";"Varik";;;;1874,00;;;;;"Schaal 1:10.000";;;;;;;;;;
385;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"30";"Heesbeen ";;"Derde uitgave";;1955,00;;;;;"Schaal 1:10.000";;;;;;;;;;
386;"EERSTE DRUK";"4";"Kaart van de rivier de Boven Maas van Vise tot Woudrichem : in vierendertig bladen / opgemeten en vervaardigd door den eersten landmeter bij de Algemeene dienst van den Waterstaat E. Olivier Dz. ; op last van zijne excellentie den minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur in Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier.  – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1849-1856 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 38 bladen : lithografie; diverse formaten.";"30";"Driel";;;"1854";1854,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;"RO: Ontfangen bij missive dd. 10 July 1858 No. 1340/1 Zie no. 319 c/252"". -  KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";;"Nugter";"Ja"
387;"EERSTE HERZIENING";"7";"Maas en Bergsche Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topographische Inrichting, 1908-1914]. – 1 serie in 9 bladen : lithografie ; diverse formaten.";"30";"Capelle";;;;1909,00;;;;;"Schaal 1:10.000";;;;;;;;;;
388;"EERSTE HERZIENING";"4 EN 5";"Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische inrichting, 1873-1903]. – 1 serie in 33 bladen : lithografie ; diverse formaten.";"30";"Zaltbommel";;;;1873,00;;;;;"Schaal 1:10.000";;;;;;;;;;
389;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"31";"Capelle ";;"Derde uitgave";;1955,00;;;;;"Schaal 1:10.000";;;;;;;;;;
390;"EERSTE DRUK";"4";"Kaart van de rivier de Boven Maas van Vise tot Woudrichem : in vierendertig bladen / opgemeten en vervaardigd door den eersten landmeter bij de Algemeene dienst van den Waterstaat E. Olivier Dz. ; op last van zijne excellentie den minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur in Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier.  – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1849-1856 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 38 bladen : lithografie; diverse formaten.";"31";"Ammerzoden";;;"1854";1854,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;"RO in handschrift: Ontfangen bij missive 30 Decem"" [Verder niet leesbaar door afsnijden van het kaartblad]. -  KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";"Scheurtje RO";"Nugter";"Ja"
391;"EERSTE HERZIENING";"7";"Maas en Bergsche Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topographische Inrichting, 1908-1914]. – 1 serie in 9 bladen : lithografie ; diverse formaten.";"31";"Geertruidenberg";"Opgemeeten door den ambtenaar J.W. Hermanie ; de kaart gebracht en geteekend door den ambtenaar H.J. van Weezel Errens.  1911.";;;1911,00;;;;;"Schaal 1:10.000";;;;;;;;;;
392;"EERSTE HERZIENING";"4 EN 5";"Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische inrichting, 1873-1903]. – 1 serie in 33 bladen : lithografie ; diverse formaten.";"31";"Driel";;;"1881-1882";1883,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Topographische inrichting)";"Schaal 1:10.000";;;;"Kaartenverzameling Geografisch Instituut Vrije Universiteit";;;;"Over gehele breedte met cellotape gerestaureerd";;"Ja"
393;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"32";"Raamsdonk ";;"Vierde uitgave";;1940,00;;;;;"Schaal 1:10.000";;;;;;;;;;
394;"EERSTE DRUK";"4";"Kaart van de rivier de Boven Maas van Vise tot Woudrichem : in vierendertig bladen / opgemeten en vervaardigd door den eersten landmeter bij de Algemeene dienst van den Waterstaat E. Olivier Dz. ; op last van zijne excellentie den minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur in Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier.  – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1849-1856 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 38 bladen : lithografie; diverse formaten.";"32";"Heusden";;;"1854";1854,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;"LB in handschrift: Ontfangen 31 Mei 1859 no. 1261/1. Geboekt no. 366c/332"". -  KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";"Scheurtjes RO";"Nugter";"Ja"
395;"EERSTE HERZIENING";"7";"Maas en Bergsche Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topographische Inrichting, 1908-1914]. – 1 serie in 9 bladen : lithografie ; diverse formaten.";"32";"Drimmelen";"Opgemeten door de ambtenaren K. Vierkant en J.W. Hermanie ; in kaart gebracht en geteekend door de ambtenaren H. van der Schalk en H.J. van Weezel Errens";;;1913,00;;;;;"Schaal 1:10.000";;;;;;;;;;
396;"EERSTE HERZIENING";"4 EN 5";"Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische inrichting, 1873-1903]. – 1 serie in 33 bladen : lithografie ; diverse formaten.";"32";"Hedel";;;;1883,00;;;;;"Schaal 1:10.000";;;;;;;;;;
397;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"33";"Geertuidenberg ";;"Vierde uitgave";;1941,00;;;;;"Schaal 1:10.000";;;;;;;;;;
398;"EERSTE DRUK";"4";"Kaart van de rivier de Boven Maas van Vise tot Woudrichem : in vierendertig bladen / opgemeten en vervaardigd door den eersten landmeter bij de Algemeene dienst van den Waterstaat E. Olivier Dz. ; op last van zijne excellentie den minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur in Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier.  – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1849-1856 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 38 bladen : lithografie; diverse formaten.";"33";"Wijk";;;"1854";1854,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;"RO in handschrift: ""Ingeschreven 27 October 1859 no. 764 c 684. -  KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";"Scheuren langs alle zijden";"Nugter";"Ja"
399;"EERSTE HERZIENING";"7";"Maas en Bergsche Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topographische Inrichting, 1908-1914]. – 1 serie in 9 bladen : lithografie ; diverse formaten.";"33";"Zwaluwe";"Opgemeten door den ambtenaar S.J. Negrijn ; in kaart gebracht en geteekend door H.J. van Weezel Errens";;;1913,00;;;;;"Schaal 1:10.000";;;;;;;;;;
400;"EERSTE HERZIENING";"4 EN 5";"Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische inrichting, 1873-1903]. – 1 serie in 33 bladen : lithografie ; diverse formaten.";"33";"Heusden";;;"1882-1883";1885,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Topographische inrichting)";"Schaal 1:10.000";;;;"Kaartenverzameling Geografisch Instituut Vrije Universiteit";;;;;;"Ja"
401;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"34";"Hoge Zwaluwe ";;"Vierde uitgave";;1934,00;;;;;"Schaal 1:10.000";;;;;;;;;;
402;"EERSTE DRUK";"4";"Kaart van de rivier de Boven Maas van Vise tot Woudrichem : in vierendertig bladen / opgemeten en vervaardigd door den eersten landmeter bij de Algemeene dienst van den Waterstaat E. Olivier Dz. ; op last van zijne excellentie den minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur in Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier.  – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1849-1856 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 38 bladen : lithografie; diverse formaten.";"34";"Woudrichem";;;;1856,00;;;",";",";",";;;;;;;;;;
403;"EERSTE HERZIENING";"7";"Maas en Bergsche Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topographische Inrichting, 1908-1914]. – 1 serie in 9 bladen : lithografie ; diverse formaten.";"34";"Moerdijk ";"Opgemeten door den Ambtenaar S.J. Negrijn ; in kaart gebracht en geteekend door de Ambtenaar H. van der Schalk";"Tweede uitgave";;1914,00;;;;;"Schaal 1:10.000";;;;;;;;;;
404;"EERSTE HERZIENING";"4 EN 5";"Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische inrichting, 1873-1903]. – 1 serie in 33 bladen : lithografie ; diverse formaten.";"34";"Wijk";;;"1882-1883";1884,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Topographische inrichting)";"Schaal 1:10.000";;;;"Kaartenverzameling Geografisch Instituut Vrije Universiteit";;;;;;"Ja"
405;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"305";"Lage Zwaluwe ";;"Vierde uitgave";;1934,00;;;;;"Schaal 1:10.000";;;;;;;;;;
406;"EERSTE HERZIENING";"4 EN 5";"Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische inrichting, 1873-1903]. – 1 serie in 33 bladen : lithografie ; diverse formaten.";"35";"Brakel";;;;1873,00;;;;;"Schaal 1:10.000";;;;;;;;;;
407;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"36";"Moerdijk ";;"Vierde uitgave";;1940,00;;;;;"Schaal 1:10.000";;;;;;;;;;
408;"EERSTE HERZIENING";"4 EN 5";"Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische inrichting, 1873-1903]. – 1 serie in 33 bladen : lithografie ; diverse formaten.";"36";"Gorinchem";;;;1874,00;;;;;"Schaal 1:10.000";;;;;;;;;;
409;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"37";"Noordschans ";;"Derde uitgave";;1940,00;;;;;"Schaal 1:10.000";;;;;;;;;;
410;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"38";"Willemstad ";;"Tweede uitgave";;1959,00;;;;;"Schaal 1:10.000";;;;;;;;;;
411;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"39";"Dintelsas ";;"Tweede uitgave";;1957,00;;;;;"Schaal 1:10.000";;;;;;;;;;
412;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"40";"Den Bommel ";;"Tweede uitgave";;1958,00;;;;;"Schaal 1:10.000";;;;;;;;;;
413;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"41";"Tien Gemeten ";;"Tweede uitgave";;1950,00;;;;;"Schaal 1:10.000";;;;;;;;;;
414;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"42";"Stad aan ’t Haringvliet ";;"Tweede uitgave";;1957,00;;;;;"Schaal 1:10.000";;;;;;;;;;
415;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"43";"Middelharnis ";;"eerste uitgave";;1953,00;;;;;"Schaal 1:10.000";;;;;;;;;;
416;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"44";"Hellevoetsluis ";;"eerste uitgave";;1959,00;;;;;"Schaal 1:10.000";;;;;;;;;;
417;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"45";"Goedereede ";;"eerste uitgave";;1960,00;;;;;"Schaal 1:10.000";;;;;;;;;;
418;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"46";"Rockanje ";;"eerste uitgave";;1958,00;;;;;"Schaal 1:10.000";;;;;;;;;;
419;"EERSTE DRUK";"1";"Kaart van de rivieren de Boven Rijn, de Waal, de Merwede, de Oude en een gedeelte van de Nieuwe Maas van Lobith tot Brielle : in twintig bladen benevens twee supplementaire bladen voor de Dordtsche Kil / vervaardigd op last van zijne excellentie den Minister van Binnenlandse Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1830-1835. ([Delft] : het Bureau en de drukkerij van de Directie der Militaire Verkenningen). -  1 kaartserie, in 27 bladen : lithografie ; diverse formaten.";"00B";"	Voorstelling van rivierstanden en noodpeilen, aan de peilschalen langs de rivieren de Boven-Rijn, Neder-Rijn en Geldersche Ijssel van Emmerik tot de Zuiderzee : de Nieuwe Merwede, het Hollandsch Diep en Haringvliet van Gorinchem tot Hellevoetsluis";;;;1863,00;;;;;;;;;;;;;;;
420;"EERSTE DRUK";"1";"Kaart van de rivieren de Boven Rijn, de Waal, de Merwede, de Oude en een gedeelte van de Nieuwe Maas van Lobith tot Brielle : in twintig bladen benevens twee supplementaire bladen voor de Dordtsche Kil / vervaardigd op last van zijne excellentie den Minister van Binnenlandse Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1830-1835. ([Delft] : het Bureau en de drukkerij van de Directie der Militaire Verkenningen). -  1 kaartserie, in 27 bladen : lithografie ; diverse formaten.";"00C";"	Voorstelling van rivierstanden en noodpeilen, aan de peilschalen langs de rivieren de Boven-Rijn, Neder-Rijn en Geldersche Ijssel van Emmerik tot de Zuiderzee : Linge en Kanaal van Steenenhoek";;;;1863,00;;;;;;;;;;;;;;;
